Date,Year,t,Elevation,Change,Content
1-Jan,2022,0,1066.43,0.04,8918172
2-Jan,2022,1,1066.4,-0.03,8915830
3-Jan,2022,2,1066.44,0.04,8918953
4-Jan,2022,3,1066.42,-0.02,8917391
5-Jan,2022,4,1066.4,-0.02,8915830
6-Jan,2022,5,1066.44,0.04,8918953
7-Jan,2022,6,1066.46,0.02,8920514
8-Jan,2022,7,1066.57,0.11,8929117
9-Jan,2022,8,1066.69,0.12,8938511
10-Jan,2022,9,1066.74,0.05,8942425
11-Jan,2022,10,1066.79,0.05,8946339
12-Jan,2022,11,1066.85,0.06,8951036
13-Jan,2022,12,1066.9,0.05,8954950
14-Jan,2022,13,1067.03,0.13,8965131
15-Jan,2022,14,1067.06,0.03,8967485
16-Jan,2022,15,1067.15,0.09,8974547
17-Jan,2022,16,1067.16,0.01,8975331
18-Jan,2022,17,1067.18,0.02,8976900
19-Jan,2022,18,1067.13,-0.05,8972977
20-Jan,2022,19,1067.08,-0.05,8969000
21-Jan,2022,20,1067.11,0.03,8971408
22-Jan,2022,21,1067.1,-0.01,8970624
23-Jan,2022,22,1067.18,0.08,8976900
24-Jan,2022,23,1067.21,0.03,8979254
25-Jan,2022,24,1067.26,0.05,8983177
26-Jan,2022,25,1067.25,-0.01,8982000
27-Jan,2022,26,1067.24,-0.01,8981608
28-Jan,2022,27,1067.15,-0.09,8974547
29-Jan,2022,28,1067.13,-0.02,8972977
30-Jan,2022,29,1067.14,0.01,8974000
31-Jan,2022,30,1067.09,-0.05,8969839
1-Feb,2022,31,1067.07,-0.02,8968270
2-Feb,2022,32,1067.04,-0.03,8965916
3-Feb,2022,33,1067.02,-0.02,8964347
4-Feb,2022,34,1066.97,-0.05,8960429
5-Feb,2022,35,1066.99,0.02,8961995
6-Feb,2022,36,1067,0.01,8962778
7-Feb,2022,37,1067.04,0.04,8966000
8-Feb,2022,38,1067.08,0.04,8969000
9-Feb,2022,39,1067.09,0.01,8970000
10-Feb,2022,40,1067.06,-0.03,8967000
11-Feb,2022,41,1067.06,0,8967485
12-Feb,2022,42,1067.12,0.06,8972000
13-Feb,2022,43,1067.18,0.06,8977000
14-Feb,2022,44,1067.16,-0.02,8975000
15-Feb,2022,45,1067.19,0.03,8978000
16-Feb,2022,46,1067.18,-0.01,8977000
17-Feb,2022,47,1067.15,-0.03,8975000
18-Feb,2022,48,1067.1,-0.05,8971000
19-Feb,2022,49,1067.08,-0.02,8969000
