Date,Year,t,Elevation,Change,Content,Inflow,Outflow
01-Jul,2022,0,1042.91,-0.11,7179000,11596,14300
02-Jul,2022,1,1042.83,-0.08,7174000,11414,12500
03-Jul,2022,2,1042.76,-0.07,7169000,10664,11900
04-Jul,2022,3,1042.79,0.03,7171000,13777,11200
05-Jul,2022,4,1042.64,-0.15,7160570,9066,12903
06-Jul,2022,5,1042.56,-0.08,7155000,10477,12100
07-Jul,2022,6,1042.35,-0.21,7140000,9951,16400
08-Jul,2022,7,1042.17,-0.18,7128000,12551,17400
09-Jul,2022,8,1042.05,-0.12,7119000,11652,14900
10-Jul,2022,9,1041.99,-0.06,7115000,12815,13500
11-Jul,2022,10,1041.91,-0.08,7110000,13805,14900
12-Jul,2022,11,1041.76,-0.15,7099346,9350,13675
13-Jul,2022,12,1041.56,-0.2,7085000,8604,14500
14-Jul,2022,13,1041.46,-0.1,7079000,13597,15200
15-Jul,2022,14,1041.39,-0.07,7074000,14528,15600
16-Jul,2022,15,1041.35,-0.04,7071000,13601,13600
17-Jul,2022,16,1041.3,-0.05,7067000,13166,13800
18-Jul,2022,17,1041.17,-0.13,7058000,12630,15800
19-Jul,2022,18,1041.04,-0.13,7049000,10552,13900
20-Jul,2022,19,1040.91,-0.13,7040450,10785,14042
21-Jul,2022,20,1040.76,-0.15,7030000,11096,14900
22-Jul,2022,21,1040.72,-0.04,7027000,13770,13700
23-Jul,2022,22,1040.72,0,7027000,12244,10600
24-Jul,2022,23,1040.69,-0.03,7025000,12455,12000
25-Jul,2022,24,1040.73,0.04,7028000,14786,11700
26-Jul,2022,25,1040.66,-0.07,7023000,11385,12500
27-Jul,2022,26,1040.63,-0.03,7021000,12056,11600
28-Jul,2022,27,1040.58,-0.05,7018000,11334,11400
29-Jul,2022,28,1040.7,0.12,7026000,17958,12200
30-Jul,2022,29,1040.82,0.12,7034000,16564,10800
31-Jul,2022,30,1040.92,0.1,7041000,16264,11200
01-Aug,2022,31,1040.91,-0.01,7040000,15015,14100
02-Aug,2022,32,1040.8,-0.11,7033000,14786,17000
03-Aug,2022,33,1040.77,-0.03,7031000,13173,12700
04-Aug,2022,34,1040.93,0.16,7042000,15154,7730
05-Aug,2022,35,1041.14,0.21,7056000,16567,7490
06-Aug,2022,36,1041.33,0.19,7070000,16913,7880
07-Aug,2022,37,1041.46,0.13,7079000,15096,8820
08-Aug,2022,38,1041.53,0.07,7083000,14538,10800
09-Aug,2022,39,1041.5,-0.03,7081000,10387,9910
10-Aug,2022,40,1041.51,0.01,7082000,12119,9980
11-Aug,2022,41,1041.56,0.05,7085000,13949,10700
12-Aug,2022,42,1041.74,0.18,7098000,16617,8040
13-Aug,2022,43,1042,0.26,7116000,17471,6240
14-Aug,2022,44,1042.21,0.21,7131000,15901,6330
15-Aug,2022,45,1042.32,0.11,7138000,15466,10300
16-Aug,2022,46,1042.36,0.04,7141000,12694,9520
17-Aug,2022,47,1042.48,0.12,7149000,15610,9820
18-Aug,2022,48,1042.61,0.13,7158000,16154,9790
19-Aug,2022,49,1042.84,0.23,7175000,18382,7740
20-Aug,2022,50,1043.07,0.23,7191000,16043,5910
21-Aug,2022,51,1043.29,0.22,7206000,16352,6830
22-Aug,2022,52,1043.42,0.13,7215000,15927,9550
23-Aug,2022,53,1043.43,0.01,7216000,12388,10300
