Date,t,Week,Elevation,Change,Content,Inflow,Outflow
1-Jan-20,0,0,1090.64,0.15,10912000,10600,5460
8-Jan-20,7,1,1091.47,0.1,10984334,12700,6618
15-Jan-20,14,2,1092.56,0.1,11079226,12900,6792
22-Jan-20,21,3,1093.58,0.13,11168000,12900,7570
29-Jan-20,28,4,1094.44,0.09,11244000,12800,8330
5-Feb-20,35,5,1094.83,0.01,11278000,12300,10700
12-Feb-20,42,6,1095.19,-0.02,11310000,12000,11300
19-Feb-20,49,7,1095.66,0.08,11351000,12500,7950
26-Feb-20,56,8,1096.03,0.01,11384000,12400,10500
4-Mar-20,63,9,1096.14,-0.08,11393000,11600,15400
11-Mar-20,70,10,1095.78,0.03,11362000,11700,12300
18-Mar-20,77,11,1096.87,0.21,11457000,9600,3940
25-Mar-20,84,12,1098.24,0.05,11579000,11800,7830
1-Apr-20,91,13,1098.5,-0.09,11602000,11618,14700
8-Apr-20,98,14,1097.59,-0.22,11521000,8532,18100
15-Apr-20,105,15,1097.39,-0.03,11503391,11305,11699
22-Apr-20,112,16,1097.34,-0.16,11499000,10315,16600
29-Apr-20,119,17,1096.61,-0.26,11434568,9899,20421
6-May-20,126,18,1095.52,-0.18,11338711,10802,17864
13-May-20,133,19,1094.37,-0.12,11237701,12030,15894
20-May-20,140,20,1093.45,-0.15,11157004,9277,15116
27-May-20,147,21,1092.13,-0.32,11041746,7912,21410
3-Jun-20,154,22,1090.81,-0.2,10927000,10412,17800
10-Jun-20,161,23,1089.87,-0.19,10845794,10458,17369
17-Jun-20,168,24,1088.81,-0.2,10754503,9736,17296
24-Jun-20,175,25,1087.75,-0.22,10664000,9853,17800
1-Jul-20,182,26,1086.88,-0.19,10589291,8862,15455
8-Jul-20,189,27,1086.21,-0.15,10532246,10027,14157
15-Jul-20,196,28,1085.67,-0.13,10486377,9988,13897
22-Jul-20,203,29,1085.24,-0.17,10449931,10283,15827
29-Jul-20,210,30,1084.73,-0.18,10406787,10443,16454
5-Aug-20,217,31,1084.23,-0.11,10364576,11476,14202
12-Aug-20,224,32,1084.02,-0.12,10346864,12704,16041
19-Aug-20,231,33,1083.69,-0.09,10319088,12788,14605
26-Aug-20,238,34,1083.8,-0.06,10328000,12069,12700
2-Sep-20,245,35,1084.07,0.02,10351000,12400,8990
9-Sep-20,252,36,1083.97,-0.06,10342653,9035,8942
16-Sep-20,259,37,1083.73,-0.09,10322000,10456,12600
23-Sep-20,266,38,1083.51,-0.04,10303939,10891,10754
30-Sep-20,273,39,1083.21,-0.05,10279000,11017,11100
7-Oct-20,280,40,1083.12,-0.03,10271178,11425,11234
14-Oct-20,287,41,1082.97,-0.1,10259000,11544,13700
21-Oct-20,294,42,1082.46,-0.11,10216000,10166,13700
28-Oct-20,301,43,1081.98,-0.11,10176000,9521,13100
4-Nov-20,308,44,1081.59,-0.1,10143000,9343,12900
11-Nov-20,315,45,1081.41,-0.08,10128000,10901,13500
18-Nov-20,322,46,1081.18,-0.08,10109000,10993,13600
25-Nov-20,329,47,1081.08,-0.05,10101000,11401,12400
2-Dec-20,336,48,1081.17,-0.02,10108000,7688,7800
9-Dec-20,343,49,1081.94,0.08,10172000,12822,8540
16-Dec-20,350,50,1082.61,0.06,10228416,11175,7485
23-Dec-20,357,51,1083.3,0.06,10286000,12922,9210
30-Dec-20,364,52,1083.64,0.02,10315000,12000,9270
6-Jan-21,371,53,1084.08,0.07,10351925,13588,9382
13-Jan-21,378,54,1084.69,0.07,10403000,13667,9780
20-Jan-21,385,55,1085.17,-0.01,10444000,11156,10700
27-Jan-21,392,56,1085.55,0.03,10476000,12867,10900
3-Feb-21,399,57,1086.38,0.12,10547000,12729,5940
10-Feb-21,406,58,1087.08,0.01,10606000,12882,11400
17-Feb-21,413,59,1086.95,-0.12,10595000,12567,17000
24-Feb-21,420,60,1087.15,0.03,10612000,12933,11300
3-Mar-21,427,61,1087.14,-0.02,10611000,13466,13500
10-Mar-21,434,62,1086.65,-0.13,10570000,12483,17800
17-Mar-21,441,63,1085.8,-0.13,10497000,11940,16800
24-Mar-21,448,64,1084.33,-0.06,10373000,14914,16500
31-Mar-21,455,65,1084.39,-0.12,10378000,12166,16400
7-Apr-21,462,66,1083.56,-0.16,10308000,10887,17100
14-Apr-21,469,67,1082.48,-0.26,10218000,9640,19600
21-Apr-21,476,68,1081.34,-0.23,10122000,12345,21200
28-Apr-21,483,69,1079.81,-0.22,9995000,10998,19300
5-May-21,490,70,1078.21,-0.25,9863000,9793,19600
12-May-21,497,71,1076.95,-0.2,9760000,9749,15500
19-May-21,504,72,1075.86,-0.42,9671000,8827,19200
26-May-21,511,73,1074.48,-0.26,9559000,8649,18500
2-Jun-21,518,74,1072.87,-0.32,9429000,8494,20800
9-Jun-21,525,75,1071.57,-0.2,9325000,8794,10700
16-Jun-21,532,76,1070.6,-0.16,9247000,9769,17200
23-Jun-21,539,77,1069.66,-0.19,9173000,8089,14400
30-Jun-21,546,78,1068.77,-0.27,9102000,9120,18700
7-Jul-21,553,79,1068.32,-0.15,9067000,12997,17000
14-Jul-21,560,80,1067.85,-0.01,9030000,16789,14900
21-Jul-21,567,81,1067.67,-0.12,9015376,11399,14859
28-Jul-21,574,82,1067.64,-0.07,9013000,15944,17400
4-Aug-21,581,83,1067.81,-0.08,9026000,15081,16900
11-Aug-21,588,84,1067.78,-0.07,9024000,11925,13200
18-Aug-21,595,85,1067.53,-0.07,9004000,11559,12900
25-Aug-21,602,86,1068.05,0,9045000,13912,12000
1-Sep-21,609,87,1067.92,-0.04,9035000,9796,9700
8-Sep-21,616,88,1067.72,-0.08,9019000,9185,11300
15-Sep-21,623,89,1067.57,-0.02,9008000,10077,8960
22-Sep-21,630,90,1067.49,-0.12,9001000,9340,13100
29-Sep-21,637,91,1067.66,0.01,9015000,10956,8840
6-Oct-21,644,92,1067.44,-0.11,8997000,8886,12400
13-Oct-21,651,93,1067.61,0.09,9011000,9230,4260
20-Oct-21,658,94,1067.75,-0.09,9022000,8863,11400
27-Oct-21,665,95,1067.1,-0.11,8970624,7900,11615
3-Nov-21,672,96,1066.36,-0.15,8913000,9172,13900
10-Nov-21,679,97,1065.92,-0.02,8878000,9399,9330
17-Nov-21,686,98,1065.81,-0.06,8869793,9420,10354
24-Nov-21,693,99,1065.31,-0.1,8830867,8414,11630
1-Dec-21,700,100,1064.94,-0.03,8802115,9158,9223
8-Dec-21,707,101,1065.12,-0.02,8816096,8573,8629
15-Dec-21,714,102,1065.46,-0.1,8842528,7484,10166
