Month,t,Elevation
Jan 2020,0,"1,094.68"
Feb 2020,1,"1,096.27"
Mar 2020,2,"1,098.59"
Apr 2020,3,"1,096.39"
May 2020,4,"1,091.32"
Jun 2020,5,"1,087.07"
Jul 2020,6,"1,084.63"
Aug 2020,7,"1,084.04"
Sep 2020,8,"1,083.21"
Oct 2020,9,"1,081.88"
Nov 2020,10,"1,081.07"
Dec 2020,11,"1,083.72"
Jan 2021,12,"1,085.95"
Feb 2021,13,"1,087.26"
Mar 2021,14,"1,084.39"
Apr 2021,15,"1,079.30"
May 2021,16,"1,073.50"
Jun 2021,17,"1,068.77"
Jul 2021,18,"1,067.65"
Aug 2021,19,"1,067.96"
Sep 2021,20,"1,067.68"
Oct 2021,21,"1,066.77"
Nov 2021,22,"1,064.97"
Dec 2021,23,"1,066.39"
Jan 2022,24,"1,067.09"
Feb 2022,25,"1,066.78"
Mar 2022,26,"1,061.49"
Apr 2022,27,"1,054.69"
May 2022,28,"1,047.69"
Jun 2022,29,"1,043.02"
Jul 2022,30,"1,040.92"
Aug 2022,31,"1,044.28"
Sep 2022,32,"1,045.03"
Oct 2022,33,"1,046.28"
Nov 2022,34,"1,043.02"
Dec 2022,35,"1,044.82"
Jan 2023,36,"1,046.97"
Feb 2023,37,"1,047.02"
Mar 2023,38,"1,046.03"
Apr 2023,39,"1,049.69"
May 2023,40,"1,054.28"
Jun 2023,41,"1,056.39"
