,Country,Region,Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
0,Singapore,Asia-Pacific,2024,83.5,94.2,88.3,58.3,90.7,89.2,76.0,86.9,77.3,76.3,95.0,90.0,80.0
1,Switzerland,Europe,2024,83.0,94.2,91.3,98.1,70.4,64.6,95.7,89.3,60.7,80.8,86.4,85.0,80.0
2,Ireland,Europe,2024,82.6,93.5,83.4,94.3,78.0,82.4,91.7,91.3,62.8,74.5,79.2,90.0,70.0
3,Taiwan,Asia-Pacific,2024,80.0,82.2,73.4,94.0,79.2,90.5,90.3,84.9,69.1,80.1,86.4,70.0,60.0
4,Luxembourg,Europe,2024,79.2,96.9,84.9,95.8,64.6,40.6,97.6,89.5,57.7,69.1,79.2,95.0,80.0
5,Denmark,Europe,2024,77.8,98.6,97.4,89.6,41.8,26.8,98.2,92.7,64.9,74.3,79.2,90.0,80.0
6,Estonia,Europe,2024,77.8,92.8,81.2,93.4,80.8,46.8,85.4,83.2,64.2,66.2,79.2,90.0,70.0
7,New Zealand,Asia-Pacific,2024,77.8,87.4,95.9,93.2,65.5,46.3,72.4,88.3,70.3,74.6,89.8,70.0,80.0
8,Norway,Europe,2024,77.5,98.8,95.6,96.7,61.7,32.1,97.2,87.2,69.4,71.1,84.8,75.0,60.0
9,Sweden,Europe,2024,77.5,96.2,93.2,95.4,50.6,28.5,97.1,84.9,65.9,74.4,79.2,85.0,80.0
10,Netherlands,Europe,2024,77.3,95.6,87.8,96.2,53.1,37.1,88.1,88.6,60.5,71.5,79.2,90.0,80.0
11,Finland,Europe,2024,76.3,100.0,94.2,97.6,67.8,8.2,74.3,88.8,65.5,75.4,79.2,85.0,80.0
12,Australia,Asia-Pacific,2024,76.2,91.0,85.2,94.4,62.6,48.2,39.9,92.1,65.4,75.6,89.8,80.0,90.0
13,South Korea,Asia-Pacific,2024,73.1,88.3,69.2,76.9,59.0,78.9,91.6,85.0,57.2,77.3,73.4,60.0,60.0
14,Lithuania,Europe,2024,72.9,89.1,68.0,74.4,76.8,55.5,83.2,80.7,61.8,66.5,79.2,70.0,70.0
15,Canada,Americas,2024,72.4,88.6,73.1,95.0,75.8,34.7,33.9,84.1,69.5,70.3,83.6,80.0,80.0
16,Cyprus,Europe,2024,72.2,83.7,55.9,88.7,79.9,45.5,79.3,78.6,66.7,74.5,79.2,75.0,60.0
17,Germany,Europe,2024,72.1,95.3,86.0,93.0,59.3,24.1,71.9,84.2,53.7,68.8,79.2,80.0,70.0
18,Latvia,Europe,2024,71.5,87.6,64.8,73.0,76.6,48.5,67.3,82.0,66.3,67.8,79.2,85.0,60.0
19,Mauritius,Sub-Saharan Africa,2024,71.5,86.4,52.3,81.2,91.5,74.7,30.4,78.9,69.1,66.7,87.4,70.0,70.0
20,Chile,Americas,2024,71.4,72.5,68.2,87.9,71.8,73.4,66.0,79.2,58.6,70.9,78.0,60.0,70.0
21,United Arab Emirates,Middle East/North Africa,2024,71.1,64.8,64.9,35.2,100.0,78.4,98.1,80.2,65.3,78.3,78.0,50.0,60.0
22,Iceland,Europe,2024,70.5,96.5,83.7,95.3,73.6,26.3,10.5,87.4,68.0,73.4,80.8,80.0,70.0
23,Czech Republic,Europe,2024,70.2,89.3,60.7,83.1,79.6,36.2,58.7,77.3,58.9,68.8,79.2,70.0,80.0
24,Israel,Middle East/North Africa,2024,70.1,82.1,65.5,84.4,59.3,50.7,58.6,80.8,58.0,78.4,83.0,70.0,70.0
25,United States,Americas,2024,70.1,95.1,74.8,76.4,74.8,48.7,0.0,84.8,77.7,73.8,75.6,80.0,80.0
26,Uruguay,Americas,2024,69.8,84.8,78.1,81.1,73.8,71.6,75.9,83.9,61.0,66.2,71.2,60.0,30.0
27,Qatar,Middle East/North Africa,2024,68.8,70.4,51.7,41.5,99.7,74.0,96.4,66.1,52.5,72.2,81.6,60.0,60.0
28,Portugal,Europe,2024,68.7,89.4,65.5,90.6,59.8,33.0,65.2,79.3,57.6,75.0,79.2,70.0,60.0
29,United Kingdom,Europe,2024,68.6,94.6,84.1,84.3,62.3,34.3,0.0,82.7,63.2,73.6,83.6,80.0,80.0
30,Bulgaria,Europe,2024,68.5,75.9,44.0,57.4,92.9,56.2,91.4,75.3,68.7,70.5,79.2,60.0,50.0
31,Austria,Europe,2024,68.4,96.9,74.8,94.8,45.1,8.6,36.5,81.9,78.9,73.8,79.2,80.0,70.0
32,Georgia,Europe,2024,68.4,53.3,61.1,54.8,89.1,69.6,39.9,74.4,63.0,69.3,86.4,80.0,80.0
33,Jamaica,Americas,2024,68.1,66.1,48.4,69.7,77.0,71.5,87.5,69.9,64.9,71.2,71.6,70.0,50.0
34,Slovakia,Europe,2024,68.1,84.5,55.8,70.6,76.5,41.4,64.2,76.3,58.1,66.1,79.2,75.0,70.0
35,Botswana,Sub-Saharan Africa,2024,68.0,73.6,58.7,69.3,86.7,68.7,68.4,66.0,60.6,65.1,78.8,60.0,60.0
36,Costa Rica,Americas,2024,67.7,65.4,58.7,76.9,78.9,86.9,44.4,79.5,61.8,74.5,75.0,60.0,50.0
37,Japan,Asia-Pacific,2024,67.5,94.6,82.6,93.6,63.3,42.5,0.0,77.5,68.6,81.7,75.8,70.0,60.0
38,Croatia,Europe,2024,67.2,79.8,51.3,71.0,81.7,27.1,74.8,76.5,68.2,67.4,79.2,70.0,60.0
39,Samoa,Asia-Pacific,2024,67.2,73.2,56.0,78.3,79.0,67.8,96.2,63.9,71.4,73.6,67.2,50.0,30.0
40,Barbados,Americas,2024,66.8,72.3,68.3,87.3,81.4,66.3,55.7,73.3,56.2,77.7,43.6,60.0,60.0
41,Poland,Europe,2024,66.0,72.0,58.3,52.2,72.6,38.5,67.4,74.6,58.0,68.9,79.2,80.0,70.0
42,Brunei Darussalam,Asia-Pacific,2024,65.9,68.8,59.8,52.3,95.8,73.7,20.0,76.5,75.2,68.9,84.8,65.0,50.0
43,Slovenia,Europe,2024,65.9,88.2,60.6,91.9,57.4,27.1,47.4,79.1,65.4,74.1,79.2,70.0,50.0
44,Malaysia,Asia-Pacific,2024,65.7,65.7,48.2,65.6,83.9,81.4,42.8,70.5,58.2,79.1,83.0,60.0,50.0
45,Belgium,Europe,2024,65.6,91.6,78.9,91.5,51.1,6.1,20.0,82.6,58.8,72.4,79.2,85.0,70.0
46,Armenia,Europe,2024,64.9,50.3,50.0,31.6,87.6,75.5,69.1,69.2,58.9,67.5,73.6,75.0,70.0
47,Albania,Europe,2024,64.8,56.8,36.6,50.0,88.8,69.8,51.7,74.1,51.5,75.7,82.6,70.0,70.0
48,Peru,Americas,2024,64.8,44.9,36.3,48.2,79.1,81.8,67.8,69.5,59.3,74.0,81.4,75.0,60.0
49,Malta,Europe,2024,64.5,86.3,55.3,89.9,69.6,45.0,14.5,77.5,64.4,71.8,79.2,70.0,50.0
50,Romania,Europe,2024,64.4,81.0,47.6,65.8,93.9,58.0,14.9,74.6,68.2,69.3,79.2,70.0,50.0
51,Panama,Americas,2024,64.1,56.9,37.2,51.2,85.9,82.6,21.1,73.6,61.6,75.1,78.4,75.0,70.0
52,Indonesia,Asia-Pacific,2024,63.5,39.2,38.6,44.5,81.7,90.2,66.8,73.1,59.5,78.4,79.6,50.0,60.0
53,Bahrain,Middle East/North Africa,2024,63.4,65.1,38.0,30.2,99.9,68.7,0.0,72.0,56.7,79.5,85.2,85.0,80.0
54,Spain,Europe,2024,63.3,87.2,64.0,73.6,57.0,26.0,0.0,79.7,63.6,74.1,84.2,80.0,70.0
55,Cabo Verde,Sub-Saharan Africa,2024,62.9,63.7,49.1,75.4,84.6,72.8,3.8,72.1,52.0,74.8,66.4,80.0,60.0
56,Dominican Republic,Americas,2024,62.9,55.5,35.9,58.6,84.4,88.3,57.6,75.5,53.3,66.9,68.4,70.0,40.0
57,Oman,Middle East/North Africa,2024,62.9,72.7,42.2,24.2,97.6,59.4,73.8,65.5,53.3,80.3,76.2,60.0,50.0
58,Vietnam,Asia-Pacific,2024,62.8,49.6,38.7,35.4,80.4,87.9,94.6,73.9,54.6,69.3,79.8,40.0,50.0
59,Serbia,Europe,2024,62.7,58.6,36.8,50.4,87.1,36.3,73.9,74.0,67.8,70.9,76.6,70.0,50.0
60,The Bahamas,Americas,2024,62.5,60.9,65.5,78.4,96.5,76.1,4.2,67.2,70.2,71.7,49.6,50.0,60.0
61,France,Europe,2024,62.5,93.1,73.7,84.2,53.1,0.0,6.9,82.0,60.5,71.6,79.2,75.0,70.0
62,Guatemala,Americas,2024,62.4,38.8,22.8,27.9,91.3,93.7,87.5,66.4,50.4,74.6,75.0,70.0,50.0
63,Saint Lucia,Americas,2024,62.2,67.2,58.4,74.4,77.3,76.8,28.8,69.5,57.9,75.9,60.0,60.0,40.0
64,Vanuatu,Asia-Pacific,2024,62.2,63.3,47.9,71.0,98.8,45.0,90.4,55.1,40.1,69.9,59.6,65.0,40.0
65,Bosnia and Herzegovina,Europe,2024,62.0,48.2,33.2,34.2,93.3,48.6,96.6,66.8,60.6,70.1,68.0,65.0,60.0
66,Kazakhstan,Asia-Pacific,2024,62.0,54.1,36.5,33.8,92.6,84.4,73.7,69.7,62.6,62.6,74.6,50.0,50.0
67,Mexico,Americas,2024,62.0,46.5,29.0,39.4,76.0,77.0,66.9,71.2,58.0,68.3,76.8,75.0,60.0
68,Saudi Arabia,Middle East/North Africa,2024,61.9,47.6,43.9,37.0,99.1,67.2,79.5,69.9,44.4,79.6,74.2,50.0,50.0
69,Azerbaijan,Europe,2024,61.6,53.0,24.0,18.5,87.9,67.6,99.4,69.6,56.1,63.9,69.0,70.0,60.0
70,North Macedonia,Europe,2024,61.4,58.8,41.4,49.4,94.4,61.7,37.7,70.0,56.1,64.6,77.8,65.0,60.0
71,Belize,Americas,2024,61.2,34.1,41.4,71.5,82.0,78.5,64.7,67.2,64.1,70.9,55.2,55.0,50.0
72,Hungary,Europe,2024,61.2,69.6,44.3,63.0,85.4,27.7,11.5,73.5,62.0,68.8,79.2,80.0,70.0
73,Micronesia,Asia-Pacific,2024,61.0,64.7,56.9,84.3,84.2,0.0,99.6,53.0,72.5,77.6,74.8,35.0,30.0
74,Kosovo,Europe,2024,60.6,48.2,41.0,31.8,90.7,72.3,82.3,68.0,47.5,66.4,84.2,65.0,30.0
75,Mongolia,Asia-Pacific,2024,60.6,48.8,34.8,55.0,84.0,62.0,64.3,68.0,67.5,67.9,74.4,50.0,50.0
76,São Tomé and Príncipe,Sub-Saharan Africa,2024,60.5,51.6,46.6,61.4,88.0,80.5,87.8,52.5,41.5,60.6,65.0,60.0,30.0
77,Seychelles,Sub-Saharan Africa,2024,60.4,72.0,72.1,65.2,79.1,54.6,12.4,76.9,50.8,77.0,80.2,55.0,30.0
78,Trinidad and Tobago,Americas,2024,60.4,58.1,44.8,59.8,79.9,69.6,21.1,76.0,60.4,76.7,68.6,60.0,50.0
79,Italy,Europe,2024,60.1,81.6,60.7,77.7,57.0,2.5,0.0,77.6,70.7,74.1,79.2,80.0,60.0
80,Paraguay,Americas,2024,60.1,45.0,27.3,37.2,96.0,81.6,46.4,69.0,39.8,67.3,77.2,75.0,60.0
81,Saint Vincent and the Grenadines,Americas,2024,59.8,66.7,62.3,77.3,76.3,61.1,4.5,65.4,59.6,77.0,57.8,70.0,40.0
82,Montenegro,Europe,2024,59.7,59.0,48.9,41.8,88.3,32.4,39.3,70.1,62.6,70.7,78.8,75.0,50.0
83,Colombia,Americas,2024,59.2,45.0,38.1,58.3,68.7,65.3,19.5,68.8,61.9,72.3,72.6,70.0,70.0
84,Tonga,Asia-Pacific,2024,59.2,63.0,44.9,68.8,85.4,40.1,95.9,59.7,56.4,64.4,71.8,40.0,20.0
85,Tanzania,Sub-Saharan Africa,2024,59.1,45.4,36.8,28.8,80.6,90.7,79.9,47.4,62.2,72.2,60.6,55.0,50.0
86,The Philippines,Asia-Pacific,2024,59.0,46.1,33.8,42.2,78.2,79.2,40.5,69.7,57.8,65.8,74.4,60.0,60.0
87,Thailand,Asia-Pacific,2024,59.0,45.0,38.1,35.2,81.1,80.3,46.8,70.3,56.3,66.7,72.8,55.0,60.0
88,Honduras,Americas,2024,58.6,37.5,21.3,27.7,83.0,78.6,88.8,64.5,38.7,67.7,70.4,65.0,60.0
89,Kuwait,Middle East/North Africa,2024,58.5,42.1,41.9,41.4,97.7,11.3,100.0,56.2,53.0,67.9,75.6,55.0,60.0
90,Côte d'Ivoire,Sub-Saharan Africa,2024,58.4,44.1,33.3,29.7,78.9,86.7,41.1,64.6,57.1,66.3,73.6,75.0,50.0
91,Jordan,Middle East/North Africa,2024,58.3,54.0,48.4,43.4,84.4,67.8,2.3,62.8,56.5,78.7,71.4,70.0,60.0
92,The Gambia,Sub-Saharan Africa,2024,58.2,55.3,36.2,45.4,79.3,84.3,62.5,49.0,47.6,60.0,64.4,65.0,50.0
93,Fiji,Asia-Pacific,2024,58.0,59.9,52.5,46.2,89.7,67.0,3.4,64.9,69.1,73.8,64.4,55.0,50.0
94,Benin,Sub-Saharan Africa,2024,57.7,44.6,41.3,48.5,69.6,88.5,48.9,48.9,59.1,81.9,61.0,50.0,50.0
95,Namibia,Sub-Saharan Africa,2024,57.5,63.9,50.6,67.1,72.2,54.2,10.2,55.6,63.3,75.7,72.0,65.0,40.0
96,Guyana,Americas,2024,57.3,46.8,39.2,48.3,74.9,80.2,25.8,70.9,76.7,75.5,64.4,55.0,30.0
97,Madagascar,Sub-Saharan Africa,2024,57.3,41.4,24.8,34.5,90.9,92.5,64.0,37.5,56.3,73.0,68.4,55.0,50.0
98,Moldova,Europe,2024,57.1,39.2,39.1,30.4,93.0,61.3,75.7,61.0,47.7,56.3,76.0,55.0,50.0
99,Gabon,Sub-Saharan Africa,2024,56.9,26.7,23.7,19.4,77.4,90.8,92.5,63.5,54.8,78.6,55.2,60.0,40.0
