,date,id,industry,price,pe,marketvalue,ZC,roe,optoebt,ocftooperateincome,debttoassets,current,apturn,yoyeps_basic,dupont_roe,ret
0,2010/2/26,ACGL.O,Financials,73.98,4.599014759,3914226167.0,,,,,,,,,,0.034106793
1,2010/3/31,ACGL.O,Financials,76.25,4.740130901,4034330160.0,,,,,,,,,,0.030683969
2,2010/4/30,ACGL.O,Financials,75.58,4.698480129,3998880964.0,,,,,,,,,,-0.008786885
3,2010/5/31,ACGL.O,Financials,73.52,4.518466949,3845671588.0,,,,,,,,,,-0.027255888
4,2010/6/30,ACGL.O,Financials,74.5,4.578696728,3896933261.0,,,,,,,,,,0.013329706
5,2010/7/30,ACGL.O,Financials,78.26,4.809782505,3887694629.0,,,,,,,,,,0.050469799
6,2010/8/31,ACGL.O,Financials,79.8,4.657727718,3964196670.0,,,,,,,,,,0.019677996
7,2010/9/30,ACGL.O,Financials,83.8,4.891197681,4162903270.0,,,,,,,,,,0.050125313
8,2010/10/29,ACGL.O,Financials,86.39,5.042369366,4291565794.0,,,,,,,,,,0.030906921
9,2010/11/30,ACGL.O,Financials,90.3,5.18688345,4414561748.0,,,,,,,,,,0.045259868
10,2010/12/31,ACGL.O,Financials,88.05,5.05764246,4098205804.0,71.3838,19.0709,144.8819,66.72,71.3838,,,13.9258,19.0709,-0.024916944
11,2011/1/31,ACGL.O,Financials,88.25,5.069130421,4107514619.0,,,,,,,,,,0.002271437
12,2011/2/28,ACGL.O,Financials,90.5,4.9796381,4067089729.0,,,,,,,,,,0.025495751
13,2011/3/31,ACGL.O,Financials,99.19,5.457793713,4457620223.0,,,,,,,,,,0.096022099
14,2011/4/29,ACGL.O,Financials,104.0,5.722457409,4673782672.0,,,,,,,,,,0.048492792
15,2011/5/31,ACGL.O,Financials,33.73,5.449787617,4451081161.0,,,,,,,,,,-0.675673077
16,2011/6/30,ACGL.O,Financials,31.92,5.157343864,4212229785.0,,,,,,,,,,-0.053661429
17,2011/7/29,ACGL.O,Financials,33.8,5.46109724,4460318507.0,,,,,,,,,,0.058897243
18,2011/8/31,ACGL.O,Financials,33.68,5.494589329,4487672908.0,,,,,,,,,,-0.003550296
19,2011/9/30,ACGL.O,Financials,32.675,5.330632687,4353762240.0,,,,,,,,,,-0.029839667
20,2011/10/31,ACGL.O,Financials,35.97,5.868182182,4792802687.0,,,,,,,,,,0.100841622
21,2011/11/30,ACGL.O,Financials,37.77,6.205472946,5068282724.0,,,,,,,,,,0.050041701
22,2011/12/30,ACGL.O,Financials,37.23,6.116752625,4995821176.0,,,,,,,,,,-0.014297061
23,2012/1/31,ACGL.O,Financials,36.05,5.922883034,4843618337.0,,,,,,,,,,-0.03169487
24,2012/2/29,ACGL.O,Financials,37.05,12.21984291,5016416724.0,,,,,,,,,,0.027739251
25,2012/3/30,ACGL.O,Financials,37.24,12.28250885,5042141938.0,,,,,,,,,,0.005128205
26,2012/4/27,ACGL.O,Financials,39.24,12.94215012,5312933664.0,,,,,,,,,,0.053705693
27,2012/5/31,ACGL.O,Financials,38.23,12.61422443,5178315815.0,,,,,,,,,,-0.025739042
28,2012/6/29,ACGL.O,Financials,39.69,13.09596062,5376075195.0,,,,,,,,,,0.038189903
29,2012/7/31,ACGL.O,Financials,38.8,12.8022995,5255523244.0,,,,,,,,,,-0.022423784
30,2012/8/31,ACGL.O,Financials,39.91,13.25246716,5440323229.0,,,,,,,,,,0.028608247
31,2012/9/28,ACGL.O,Financials,41.64,13.82692909,5676147814.0,,,,,,,,,,0.043347532
32,2012/10/31,ACGL.O,Financials,44.05,14.62719059,6014594841.0,,,,,,,,,,0.057877041
33,2012/11/30,ACGL.O,Financials,45.1,8.878282547,6158438554.0,,,,,,,,,,0.023836549
34,2012/12/31,ACGL.O,Financials,44.02,8.665676117,5891751824.0,70.9887,12.1134,183.6215,87.4622,70.9887,,,33.871,12.1134,-0.023946785
35,2013/1/31,ACGL.O,Financials,46.42,9.138134956,6212974095.0,,,,,,,,,,0.054520672
36,2013/2/28,ACGL.O,Financials,49.12,12.02671719,6530678278.0,,,,,,,,,,0.058164584
37,2013/3/29,ACGL.O,Financials,52.57,12.53235245,6989368018.0,,,,,,,,,,0.070236156
38,2013/4/26,ACGL.O,Financials,52.66,12.55380726,7007109429.0,,,,,,,,,,0.001712003
39,2013/5/31,ACGL.O,Financials,51.21,10.46999931,6814953877.0,,,,,,,,,,-0.027535131
40,2013/6/28,ACGL.O,Financials,51.41,10.51089001,6841569592.0,,,,,,,,,,0.003905487
41,2013/7/31,ACGL.O,Financials,54.168,11.62019634,7226900584.0,,,,,,,,,,0.05364715
42,2013/8/30,ACGL.O,Financials,53.31,11.46550846,7112639925.0,,,,,,,,,,-0.01583961
43,2013/9/30,ACGL.O,Financials,54.13,11.64186859,7225289884.0,71.2464,10.3323,170.0768,66.4104,71.2464,,,-1.699,10.3323,0.01538173
44,2013/10/31,ACGL.O,Financials,57.96,14.1755476,7740183462.0,,,,,,,,,,0.070755588
45,2013/11/29,ACGL.O,Financials,58.83,14.40161037,7856366341.0,,,,,,,,,,0.015010352
46,2013/12/31,ACGL.O,Financials,59.69,14.61213875,7979053826.0,71.1363,13.1233,176.4705,66.3061,71.1363,,,26.2651,13.1233,0.014618392
47,2014/1/30,ACGL.O,Financials,54.3,13.29266453,7258546201.0,,,,,,,,,,-0.090299883
48,2014/2/28,ACGL.O,Financials,56.12,10.89639378,7509174032.0,,,,,,,,,,0.033517495
49,2014/3/31,ACGL.O,Financials,57.54,11.19403362,7715201301.0,68.3268,3.163,197.3606,57.1859,68.3268,,,-30.2083,3.163,0.025302922
50,2014/4/30,ACGL.O,Financials,57.32,11.15123463,7685702790.0,,,,,,,,,,-0.003823427
51,2014/5/30,ACGL.O,Financials,56.93,12.43739796,7634286584.0,,,,,,,,,,-0.006803908
52,2014/6/30,ACGL.O,Financials,57.44,12.54881763,7756174092.0,67.9223,6.5761,185.4967,63.2105,67.9223,,,-10.8696,6.5761,0.00895837
53,2014/7/31,ACGL.O,Financials,53.45,11.11443329,7221785627.0,,,,,,,,,,-0.069463788
54,2014/8/29,ACGL.O,Financials,55.58,11.64468575,7509576149.0,,,,,,,,,,0.039850327
55,2014/9/30,ACGL.O,Financials,54.72,11.4645052,7151937872.0,68.6764,10.5587,171.2959,76.2297,68.6764,,,12.5926,10.5587,-0.015473192
56,2014/10/31,ACGL.O,Financials,56.32,10.02916622,7271495025.0,,,,,,,,,,0.029239766
57,2014/11/28,ACGL.O,Financials,57.32,9.753770828,7400605377.0,,,,,,,,,,0.017755682
58,2014/12/31,ACGL.O,Financials,59.1,10.05666161,7527444899.0,67.6565,14.1686,170.9827,74.193,67.6565,,,18.5115,14.1686,0.031053733
59,2015/1/30,ACGL.O,Financials,57.97,9.864377022,7383519134.0,,,,,,,,,,-0.019120135
60,2015/2/27,ACGL.O,Financials,59.16,9.191795349,7467570921.0,,,,,,,,,,0.020527859
