"X","Y","Unique Squirrel ID","Hectare","Shift","Date","Hectare Squirrel Number","Age","Primary Fur Color","Highlight Fur Color","Combination of Primary and Highlight Color","Color notes","Location","Above Ground Sighter Measurement","Specific Location","Running","Chasing","Climbing","Eating","Foraging","Other Activities","Kuks","Quaas","Moans","Tail flags","Tail twitches","Approaches","Indifferent","Runs from","Other Interactions","Lat/Long"
"-73.95613449379","40.79408238841","37F-PM-1014-03","37F","PM","10142018","3",,,,"+",,,,,"false","false","false","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9561344937861 40.7940823884086)"
"-73.96885746911","40.78378252084","21B-AM-1019-04","21B","AM","10192018","4",,,,"+",,,,,"false","false","false","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9688574691102 40.7837825208444)"
"-73.97428114849","40.77553361908","11B-PM-1014-08","11B","PM","10142018","8",,"Gray",,"Gray+",,"Above Ground","10",,"false","true","false","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.97428114848522 40.775533619083)"
"-73.95964139039","40.7903128889","32E-PM-1017-14","32E","PM","10172018","14","Adult","Gray",,"Gray+","Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.",,,,"false","false","false","true","true",,"false","false","false","false","false","false","false","true",,"POINT (-73.9596413903948 40.7903128889029)"
"-73.97026764726","40.77621268549","13E-AM-1017-05","13E","AM","10172018","5","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Above Ground",,"on tree stump","false","false","false","false","true",,"false","false","false","false","false","false","false","false",,"POINT (-73.9702676472613 40.7762126854894)"
"-73.96836135162","40.77259088475","11H-AM-1010-03","11H","AM","10102018","3","Adult","Cinnamon","White","Cinnamon+White",,,,,"false","false","false","false","true",,"false","false","false","false","true","false","true","false",,"POINT (-73.9683613516225 40.7725908847499)"
"-73.95412017898","40.79318117011","36H-AM-1010-02","36H","AM","10102018","2","Adult","Gray",,"Gray+","just outside hectare","Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","false","false",,"POINT (-73.9541201789795 40.7931811701082)"
"-73.95826943123","40.79173678203","33F-AM-1008-02","33F","AM","10082018","2","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9582694312289 40.7917367820255)"
"-73.96742859553","40.78297239197","21C-PM-1006-01","21C","PM","10062018","1","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","false",,"false","false","false","true","true","false","false","false",,"POINT (-73.9674285955293 40.7829723919744)"
"-73.97225001968","40.7742879599","11D-AM-1010-03","11D","AM","10102018","3","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Above Ground","30",,"false","false","true","false","false","grooming","false","false","false","false","false","false","true","false",,"POINT (-73.9722500196844 40.7742879599026)"
"-73.96950635353","40.78235076782","20B-PM-1013-05","20B","PM","10132018","5","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9695063535333 40.7823507678183)"
"-73.96400328265","40.78203098254","22F-PM-1014-06","22F","PM","10142018","6","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","true","false","true","false",,"POINT (-73.9640032826529 40.7820309825448)"
"-73.95321705049","40.791966974","36I-PM-1007-01","36I","PM","10072018","1","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9532170504865 40.7919669739962)"
"-73.97686036307","40.7702795905","5C-PM-1010-09","05C","PM","10102018","9","Adult","Cinnamon","Gray","Cinnamon+Gray",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9768603630674 40.7702795904962)"
"-73.9706105897","40.76981248215","7H-AM-1006-05","07H","AM","10062018","5","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Above Ground","10",,"false","true","false","false","false",,"false","false","false","false","false","false","true","false",,"POINT (-73.9706105896967 40.7698124821507)"
"-73.97037817262","40.77875261303","16C-PM-1018-03","16C","PM","10182018","3","Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",,"Above Ground","6",,"true","false","false","true","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.9703781726172 40.7787526130321)"
"-73.97039252105","40.7765032005","14E-AM-1008-23","14E","AM","10082018","23","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","true","walking","false","false","false","false","false","false","true","false",,"POINT (-73.9703925210471 40.7765032004992)"
"-73.96381794397","40.79241732639","32A-PM-1013-03","32A","PM","10132018","3","Juvenile","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","true","false",,"false","false","false","false","false","false","true","false",,"POINT (-73.9638179439747 40.7924173263904)"
"-73.95840709747","40.79138124906","33F-AM-1008-01","33F","AM","10082018","1","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","false","false","moving slowly","false","false","false","false","false","false","true","false",,"POINT (-73.9584070974734 40.7913812490557)"
"-73.96711306801","40.77848597002","17F-AM-1007-07","17F","AM","10072018","7","Adult","Gray","White","Gray+White",,"Above Ground","24",,"true","false","false","false","false",,"false","false","false","true","false","false","true","false",,"POINT (-73.9671130680114 40.7784859700171)"
"-73.9649866016","40.77649296945","16I-AM-1008-01","16I","AM","10082018","1","Adult","Cinnamon","Gray, White","Cinnamon+Gray, White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","true","false","true","false",,"POINT (-73.9649866016038 40.7764929694457)"
"-73.96706285582","40.77349914209","12I-AM-1013-01","12I","AM","10132018","1","Adult","Cinnamon","White","Cinnamon+White",,"Ground Plane","FALSE","on tree roots","false","false","false","false","false","sitting","false","false","false","false","true","false","false","true",,"POINT (-73.9670628558161 40.77349914209411)"
"-73.95873659311","40.79085243706","32F-PM-1008-07","32F","PM","10082018","7","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"true","true","false","false","true",,"false","false","false","false","false","false","true","false",,"POINT (-73.958736593111 40.7908524370626)"
"-73.96717867153","40.78673527912","25A-AM-1013-04","25A","AM","10132018","4",,"Gray","White","Gray+White",,"Ground Plane","FALSE",,"false","false","false","false","true",,"false","false","false","false","false","false","false","true",,"POINT (-73.9671786715256 40.7867352791232)"
"-73.96929432916","40.77695361025","15E-AM-1013-01","15E","AM","10132018","1","Adult","Gray","White","Gray+White",,"Ground Plane","FALSE",,"true","false","false","false","true",,"false","false","false","false","false","false","false","false",,"POINT (-73.9692943291611 40.7769536102488)"
"-73.95400541005","40.79524459998","39G-PM-1013-06","39G","PM","10132018","6","Adult","Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"true","false","false","false","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9540054100539 40.7952445999836)"
"-73.95765301573","40.78686594904","29I-PM-1007-01","29I","PM","10072018","1",,"Gray","Cinnamon","Gray+Cinnamon",,"Ground Plane","FALSE",,"false","false","false","true","true",,"false","false","false","false","false","false","false","false",,"POINT (-73.9576530157255 40.7868659490397)"
"-73.97380332575","40.77118468942","7E-AM-1006-02","07E","AM","10062018","2","Adult","Gray",,"Gray+",,"Ground Plane","FALSE","under a tree","false","false","false","true","false",,"false","false","false","false","false","false","false","false",,"POINT (-73.9738033257473 40.7711846894166)"
"-73.9704402681","40.77989656212","17C-PM-1013-05","17C","PM","10132018","5","Adult","Gray",,"Gray+",,"Ground Plane","FALSE",,"false","false","false","true","false","eating (ate upside down on a tree — #jealous)","false","false","false","false","false","false","true","false",,"POINT (-73.9704402681017 40.77989656212031)"
"-73.97569760767","40.77538973319","10A-PM-1014-01","10A","PM","10142018","1","Adult","Gray","Black, Cinnamon, White","Gray+Black, Cinnamon, White","Gray & White selected as Primary. Black & Cinnamon selected as Highlights. Made executive adjustments.","Ground Plane","FALSE","in b/w trees","false","false","false","false","true",,"false","false","false","false","true","false","true","false",,"POINT (-73.9756976076707 40.7753897331918)"
"-73.96624389967","40.78903818094","28A-PM-1007-05","28A","PM","10072018","5","Adult","Cinnamon",,"Cinnamon+",,"Ground Plane","FALSE",,"true","false","false","false","true",,"false","false","false","false","true","false","false","true",,"POINT (-73.9662438996681 40.7890381809441)"
