User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
U001,44,Male,3.1,7.0,6.0,2.0,5.0,Facebook,10.0
U002,30,Other,5.1,7.0,8.0,5.0,3.0,LinkedIn,10.0
U003,23,Other,7.4,6.0,7.0,1.0,3.0,YouTube,6.0
U004,36,Female,5.7,7.0,8.0,1.0,1.0,TikTok,8.0
U005,34,Female,7.0,4.0,7.0,5.0,1.0,X (Twitter),8.0
U006,38,Male,6.6,5.0,7.0,4.0,3.0,LinkedIn,8.0
U007,26,Female,7.8,4.0,8.0,2.0,0.0,TikTok,7.0
U008,26,Female,7.4,5.0,6.0,1.0,4.0,Instagram,7.0
U009,39,Male,4.7,7.0,7.0,6.0,1.0,YouTube,9.0
U010,39,Female,6.6,6.0,8.0,0.0,2.0,Facebook,7.0
U011,18,Female,2.8,7.0,6.0,2.0,0.0,Instagram,7.0
U012,37,Other,5.4,5.0,7.0,3.0,2.0,Instagram,9.0
U013,17,Female,7.0,7.0,10.0,7.0,1.0,YouTube,8.0
U014,39,Female,5.7,5.0,7.0,4.0,0.0,Facebook,8.0
U015,45,Male,6.3,7.0,7.0,4.0,3.0,X (Twitter),9.0
U016,17,Female,5.1,7.0,6.0,2.0,5.0,LinkedIn,10.0
U017,36,Female,7.5,5.0,8.0,4.0,4.0,Facebook,7.0
U018,48,Male,5.4,6.0,4.0,3.0,4.0,TikTok,10.0
U019,27,Male,4.7,6.0,6.0,0.0,2.0,Instagram,9.0
U020,37,Male,7.1,6.0,6.0,5.0,4.0,TikTok,10.0
U021,40,Female,3.0,8.0,5.0,5.0,4.0,X (Twitter),10.0
U022,42,Other,6.4,7.0,6.0,5.0,3.0,TikTok,10.0
U023,43,Male,3.6,8.0,5.0,3.0,1.0,Facebook,9.0
U024,31,Female,7.8,5.0,8.0,1.0,2.0,TikTok,7.0
U025,30,Male,5.0,6.0,6.0,0.0,5.0,X (Twitter),8.0
U026,18,Other,5.7,6.0,7.0,3.0,2.0,X (Twitter),8.0
U027,22,Female,6.2,5.0,8.0,5.0,0.0,X (Twitter),6.0
U028,36,Female,2.0,8.0,4.0,5.0,0.0,Facebook,10.0
U029,24,Male,4.3,6.0,6.0,5.0,2.0,X (Twitter),10.0
U030,33,Male,7.4,6.0,10.0,3.0,4.0,Instagram,8.0
U031,19,Male,7.1,5.0,8.0,5.0,2.0,X (Twitter),9.0
U032,40,Male,6.0,6.0,7.0,5.0,4.0,TikTok,7.0
U033,29,Female,3.1,8.0,4.0,2.0,2.0,LinkedIn,10.0
U034,24,Female,6.6,6.0,7.0,4.0,0.0,TikTok,7.0
U035,41,Other,6.8,8.0,7.0,2.0,2.0,LinkedIn,9.0
U036,17,Other,5.6,6.0,7.0,4.0,3.0,TikTok,7.0
U037,35,Female,7.7,4.0,8.0,0.0,3.0,Facebook,8.0
U038,43,Female,4.3,8.0,4.0,1.0,1.0,TikTok,10.0
U039,22,Other,4.6,4.0,6.0,5.0,2.0,Facebook,9.0
U040,23,Female,1.0,9.0,5.0,5.0,7.0,Facebook,10.0
U041,29,Male,7.2,5.0,7.0,4.0,1.0,X (Twitter),10.0
U042,32,Male,6.1,5.0,6.0,3.0,3.0,Instagram,7.0
U043,19,Male,2.5,9.0,3.0,0.0,0.0,LinkedIn,10.0
U044,17,Other,2.3,9.0,3.0,3.0,4.0,X (Twitter),10.0
U045,21,Female,3.9,6.0,6.0,4.0,1.0,X (Twitter),8.0
U046,19,Male,6.9,5.0,7.0,2.0,3.0,Facebook,9.0
U047,44,Female,5.0,4.0,7.0,2.0,1.0,Facebook,8.0
U048,33,Female,4.1,8.0,7.0,6.0,3.0,LinkedIn,9.0
U049,41,Male,3.7,8.0,6.0,3.0,1.0,TikTok,9.0
U050,49,Male,3.6,7.0,5.0,4.0,1.0,TikTok,9.0
U051,25,Female,2.0,9.0,4.0,5.0,3.0,X (Twitter),10.0
U052,29,Female,3.3,7.0,5.0,1.0,2.0,YouTube,10.0
U053,46,Female,3.6,7.0,5.0,3.0,3.0,YouTube,10.0
U054,30,Female,6.7,6.0,8.0,6.0,2.0,TikTok,7.0
U055,23,Female,5.2,6.0,6.0,7.0,3.0,YouTube,8.0
U056,29,Female,4.0,7.0,3.0,3.0,3.0,TikTok,10.0
U057,38,Female,9.7,3.0,9.0,3.0,2.0,Facebook,4.0
U058,36,Female,4.3,7.0,6.0,4.0,1.0,X (Twitter),9.0
U059,31,Male,7.6,5.0,10.0,3.0,2.0,Instagram,6.0
U060,33,Male,8.4,4.0,8.0,6.0,4.0,X (Twitter),7.0
U061,39,Male,2.7,9.0,5.0,1.0,3.0,TikTok,10.0
U062,41,Female,5.6,6.0,7.0,2.0,1.0,TikTok,9.0
U063,40,Female,4.6,7.0,7.0,1.0,3.0,X (Twitter),10.0
U064,44,Female,4.4,6.0,7.0,1.0,3.0,LinkedIn,9.0
U065,30,Male,6.5,4.0,9.0,4.0,3.0,TikTok,5.0
U066,16,Male,4.4,8.0,4.0,5.0,1.0,YouTube,10.0
U067,40,Male,4.6,7.0,6.0,2.0,1.0,YouTube,10.0
U068,22,Male,5.2,9.0,7.0,5.0,1.0,TikTok,10.0
U069,24,Female,4.8,6.0,7.0,5.0,2.0,TikTok,7.0
U070,39,Male,3.4,8.0,6.0,7.0,3.0,LinkedIn,10.0
U071,16,Male,6.9,5.0,8.0,3.0,3.0,YouTube,5.0
U072,23,Female,7.4,6.0,7.0,2.0,3.0,TikTok,8.0
U073,39,Male,6.1,5.0,5.0,1.0,5.0,TikTok,10.0
U074,26,Female,4.8,6.0,6.0,1.0,4.0,LinkedIn,8.0
U075,32,Female,4.2,8.0,8.0,5.0,2.0,LinkedIn,8.0
U076,23,Male,4.2,7.0,5.0,0.0,1.0,X (Twitter),10.0
U077,48,Female,9.7,4.0,8.0,5.0,1.0,LinkedIn,5.0
U078,20,Female,7.2,6.0,9.0,1.0,2.0,Instagram,6.0
U079,43,Other,4.0,7.0,7.0,2.0,4.0,YouTube,9.0
U080,22,Male,5.8,6.0,8.0,3.0,2.0,X (Twitter),7.0
U081,24,Female,4.8,6.0,7.0,2.0,2.0,Instagram,8.0
U082,23,Female,6.6,6.0,8.0,5.0,1.0,TikTok,8.0
U083,27,Male,6.5,7.0,9.0,7.0,2.0,TikTok,8.0
U084,49,Male,7.5,4.0,7.0,2.0,4.0,X (Twitter),8.0
U085,48,Other,4.0,7.0,5.0,2.0,5.0,LinkedIn,10.0
U086,38,Female,5.7,5.0,6.0,3.0,2.0,TikTok,9.0
U087,39,Male,2.4,7.0,4.0,4.0,2.0,Facebook,10.0
U088,37,Female,3.2,8.0,7.0,3.0,1.0,X (Twitter),10.0
U089,42,Male,7.1,3.0,8.0,6.0,5.0,Instagram,6.0
U090,16,Male,3.8,10.0,6.0,5.0,0.0,X (Twitter),10.0
U091,29,Male,4.0,6.0,4.0,1.0,4.0,YouTube,9.0
U092,18,Male,5.5,6.0,6.0,4.0,2.0,LinkedIn,9.0
U093,16,Male,6.8,7.0,6.0,6.0,2.0,LinkedIn,9.0
U094,20,Male,3.6,7.0,7.0,2.0,1.0,X (Twitter),8.0
U095,41,Female,1.0,7.0,5.0,2.0,6.0,TikTok,10.0
U096,29,Male,3.9,7.0,6.0,2.0,3.0,TikTok,10.0
U097,42,Male,7.7,4.0,7.0,2.0,3.0,Facebook,8.0
U098,24,Female,6.1,4.0,9.0,0.0,4.0,Facebook,6.0
U099,30,Female,7.9,5.0,8.0,0.0,2.0,LinkedIn,8.0
U100,30,Female,3.5,8.0,4.0,3.0,3.0,Facebook,10.0
U101,41,Male,2.5,9.0,4.0,6.0,3.0,Instagram,10.0
U102,28,Male,6.3,5.0,7.0,2.0,2.0,Facebook,7.0
U103,47,Male,5.9,4.0,7.0,2.0,4.0,Instagram,7.0
U104,47,Male,6.0,6.0,7.0,6.0,2.0,Facebook,9.0
U105,19,Male,7.2,5.0,6.0,1.0,0.0,LinkedIn,9.0
U106,45,Male,6.3,7.0,8.0,0.0,2.0,LinkedIn,6.0
U107,38,Male,6.2,7.0,7.0,1.0,3.0,Instagram,9.0
U108,30,Male,6.8,7.0,7.0,2.0,1.0,X (Twitter),10.0
U109,44,Male,6.4,6.0,8.0,0.0,1.0,LinkedIn,7.0
U110,28,Male,7.0,6.0,6.0,3.0,2.0,X (Twitter),8.0
U111,47,Male,7.3,4.0,6.0,5.0,4.0,TikTok,8.0
U112,22,Female,8.3,5.0,10.0,0.0,2.0,Instagram,6.0
U113,37,Female,4.3,6.0,8.0,3.0,5.0,LinkedIn,9.0
U114,43,Male,6.4,6.0,7.0,4.0,2.0,YouTube,7.0
U115,17,Female,4.8,7.0,6.0,3.0,3.0,TikTok,10.0
U116,21,Female,4.0,9.0,5.0,3.0,2.0,X (Twitter),10.0
U117,43,Male,4.3,7.0,6.0,3.0,4.0,LinkedIn,9.0
U118,43,Female,6.4,6.0,7.0,1.0,1.0,Instagram,9.0
U119,35,Female,6.3,6.0,7.0,6.0,4.0,Facebook,9.0
U120,45,Male,6.2,5.0,8.0,5.0,3.0,YouTube,8.0
U121,26,Male,5.1,6.0,5.0,5.0,2.0,X (Twitter),9.0
U122,43,Female,5.5,8.0,6.0,5.0,2.0,TikTok,10.0
U123,40,Female,7.0,4.0,6.0,0.0,5.0,Instagram,8.0
U124,48,Male,2.8,7.0,5.0,5.0,3.0,YouTube,10.0
U125,16,Male,5.5,7.0,7.0,4.0,1.0,Instagram,9.0
U126,42,Male,5.7,7.0,7.0,0.0,1.0,LinkedIn,9.0
U127,28,Female,6.9,5.0,8.0,3.0,3.0,Facebook,8.0
U128,18,Female,3.1,7.0,6.0,4.0,3.0,TikTok,9.0
U129,21,Male,8.2,5.0,7.0,6.0,4.0,Instagram,7.0
U130,23,Male,5.9,5.0,5.0,4.0,0.0,X (Twitter),9.0
U131,42,Female,6.0,5.0,8.0,1.0,1.0,LinkedIn,7.0
U132,24,Male,4.8,8.0,4.0,6.0,4.0,LinkedIn,10.0
U133,48,Male,6.5,6.0,8.0,3.0,3.0,TikTok,8.0
U134,39,Female,5.6,8.0,6.0,2.0,3.0,LinkedIn,9.0
U135,30,Female,7.7,4.0,10.0,2.0,1.0,X (Twitter),8.0
U136,47,Female,2.9,8.0,5.0,0.0,1.0,Instagram,10.0
U137,47,Female,5.8,6.0,7.0,3.0,4.0,TikTok,10.0
U138,39,Male,6.2,5.0,8.0,4.0,4.0,LinkedIn,7.0
U139,27,Male,5.2,7.0,5.0,2.0,1.0,LinkedIn,10.0
U140,17,Female,4.8,8.0,5.0,4.0,1.0,X (Twitter),10.0
U141,18,Male,4.8,6.0,5.0,1.0,2.0,Facebook,10.0
U142,32,Male,5.8,6.0,6.0,3.0,1.0,Facebook,10.0
U143,17,Male,2.2,10.0,5.0,4.0,1.0,LinkedIn,10.0
U144,17,Male,7.2,7.0,8.0,3.0,1.0,Instagram,8.0
U145,43,Male,4.6,8.0,7.0,0.0,2.0,TikTok,9.0
U146,38,Male,5.7,7.0,5.0,2.0,1.0,LinkedIn,10.0
U147,47,Male,6.2,5.0,7.0,6.0,1.0,YouTube,9.0
