"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2019"	"2019/01"	6129	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2019"	"2019/02"	5551	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2019"	"2019/03"	5974	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Apr., 2019"	"2019/04"	5470	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2019"	"2019/05"	5235	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2019"	"2019/06"	4957	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2019"	"2019/07"	5113	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2019"	"2019/08"	4889	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2019"	"2019/09"	4956	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Oct., 2019"	"2019/10"	5209	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Nov., 2019"	"2019/11"	5308	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Dec., 2019"	"2019/12"	5915	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Jan., 2020 "	"2020/01"	6244	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Feb., 2020 "	"2020/02"	5609	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Mar., 2020 "	"2020/03"	6503	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Apr., 2020 "	"2020/04"	6474	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"May, 2020 "	"2020/05"	5272	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Jun., 2020 "	"2020/06"	5052	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Jul., 2020 "	"2020/07"	5283	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Aug., 2020 "	"2020/08"	5396	Not Applicable	Not Applicable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Sep., 2020 "	"2020/09"	5186	Not Applicable	Not Applicable
