Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
Argentina,ARG,2012,,,,,,,0.117167
Argentina,ARG,2013,,,,,,,0.118271
Argentina,ARG,2014,,,,,,,0.103164
Argentina,ARG,2015,,,,,,,0.098663
Argentina,ARG,2017,,,,,,,0.103911
Argentina,ARG,2018,,,,,,,0.071714
Argentina,ARG,2019,,,,,,,0.065137
Argentina,ARG,2020,,,,,,,0.072773
Argentina,ARG,2021,,,,,,,0.070548
Argentina,ARG,2022,,,,,,,0.051696
Australia,AUS,2010,,,,0.45246518,,,0.13643
Australia,AUS,2011,,,,0.45973492,,,0.117028
Australia,AUS,2012,,,,0.27835783,,,0.114135
Australia,AUS,2013,,,,0.1597644,,,0.092393
Australia,AUS,2014,,,,0.13154154,,,0.089734
Australia,AUS,2015,,,,0.11324621,,,0.07592
Australia,AUS,2016,,,,0.08703084,,,0.072837
Australia,AUS,2017,,,,0.09538431,,,0.058781
Australia,AUS,2018,,,,0.0784055,,,0.046691
Australia,AUS,2019,,,,0.07491054,,,0.044319
Australia,AUS,2020,,,,0.0564917,,,0.049994
Australia,AUS,2021,,,,0.044535622,,,0.033433
Australia,AUS,2022,,,,0.040600065,,,0.032908
Austria,AUT,2012,,,,,,,0.117531
Austria,AUT,2013,,,,,,,0.178855
Austria,AUT,2014,,,,,,,0.110748
Austria,AUT,2015,,,,,,,0.098487
Austria,AUT,2016,,,,,,,0.08728
Austria,AUT,2017,,,,,,,0.076302
Austria,AUT,2018,,,,,,,0.065628
Austria,AUT,2022,,,,,,,0.059363
Brazil,BRA,1998,,,,,,,0.055969
Brazil,BRA,2001,,,,,,,0.149166
Brazil,BRA,2002,,,,,,,0.12648
Brazil,BRA,2003,,,,,,,0.14365
Brazil,BRA,2005,,,,,,,0.134814
Brazil,BRA,2006,,,,,,,0.097384
Brazil,BRA,2007,,,,,,,0.102775
Brazil,BRA,2008,,,,,,,0.09056
Brazil,BRA,2009,,,,,,,0.119498
Brazil,BRA,2010,,,,,,,0.116123
Brazil,BRA,2011,,,,,,,0.09379
Brazil,BRA,2012,,,,,,,0.089677
Brazil,BRA,2013,,,,,,,0.08306
Brazil,BRA,2014,,,,,,,0.069171
Brazil,BRA,2015,,,,,,,0.058499
Brazil,BRA,2016,,,,,,,0.056767
Brazil,BRA,2017,,,,,,,0.047617
Brazil,BRA,2018,,,,,,,0.047304
Brazil,BRA,2019,,,,,,,0.036021
Brazil,BRA,2020,,,,,,,0.034057
Brazil,BRA,2021,,,,,,,0.024916
Brazil,BRA,2022,,,,,,,0.02367
Canada,CAN,1990,,,,,,,0.205261
Canada,CAN,1992,,,,,,,0.195369
Canada,CAN,1994,,,,,,,0.09732
Canada,CAN,1996,,,,,,,0.16333
Canada,CAN,1999,,,,,,,0.162936
Canada,CAN,2000,,,,,,,0.135042
Canada,CAN,2001,,,,,,,0.101947
Canada,CAN,2002,,,,,,,0.096227
Canada,CAN,2003,,,,,,,0.097265
Canada,CAN,2004,,,,,,,0.095339
Canada,CAN,2005,,,,,,,0.087117
Canada,CAN,2006,,,,,,,0.09248
Canada,CAN,2007,,,,,,,0.104945
Canada,CAN,2008,,,,,,,0.1055
Canada,CAN,2009,,,,,,,0.104824
Canada,CAN,2010,,,,,,,0.117356
Canada,CAN,2011,,,,,,,0.103671
Canada,CAN,2012,,,,,,,0.115016
Canada,CAN,2013,,,,,,,0.105871
Canada,CAN,2014,,,,,,,0.092489
Canada,CAN,2015,,,,,,,0.085057
Canada,CAN,2016,,,,,,,0.085225
Canada,CAN,2017,,,,,,,0.068655
Canada,CAN,2018,,,,,,,0.056398
Canada,CAN,2019,,,,,,,0.060191
Canada,CAN,2020,,,,,,,0.038327
Canada,CAN,2021,,,,,,,0.031061
Canada,CAN,2022,,,,,,,0.032444
Chile,CHL,2012,,,,0.2005782,,,0.096919
Chile,CHL,2013,,,,0.14879552,,,0.095491
Chile,CHL,2014,,,,0.1465495,,,0.094151
Chile,CHL,2015,,,,0.101618566,,,0.089725
Chile,CHL,2016,,,,0.09346968,,,0.07602
Chile,CHL,2017,,,,0.09003654,,,0.071807
Chile,CHL,2018,,,,0.11948473,,,0.053382
Chile,CHL,2019,,,,0.0953797,,,0.076146
