Country,Year,CO2_emissions,GDP_per_capita,Renewable_energy_consumption,Life_expectancy,Population,Fossil_fuel_energy_consumption
Albania,2010,1.64276193,10749.51884,36.99,77.936,2913021.0,63.23900375
Algeria,2010,3.184357,11007.74661,0.26,73.808,35856344.0,99.84783479
Angola,2010,0.975916772,7689.820735,52.51,56.726,23364185.0,42.99251503
Argentina,2010,4.09984414,23521.27018,8.79,75.721,40788453.0,89.50324321
Armenia,2010,1.471883482,9068.787651,9.36,73.16,2946293.0,67.40110849
Australia,2010,17.97375152,44881.32607,8.16,81.69512195,22031750.0,94.42474222
Austria,2010,8.36562481,51843.42833,31.15,80.5804878,8363404.0,70.26705703
Azerbaijan,2010,2.685112496,14082.23815,4.45,69.529,9054332.0,96.93249161
Bangladesh,2010,0.340233253,3395.36478,40.31,68.638,148391139.0,70.96940448
Belarus,2010,6.478781371,17300.70265,7.29,70.40487805,9483836.0,91.99553597
Belgium,2010,9.808816157,47972.55884,6.25,80.18292683,10895586.0,72.79361704
Benin,2010,0.510824491,2634.134567,47.19,58.363,9445710.0,41.55418574
Bolivia,2010,1.438111289,6499.818158,19.93,66.162,10223270.0,82.32042868
Bosnia and Herzegovina,2010,5.468910715,10636.13207,19.57,77.073,3811088.0,91.65263533
Botswana,2010,1.611970183,12653.21175,29.41,60.013,2091664.0,64.83608167
Brazil,2010,2.026605669,14824.74115,46.81,73.182,196353492.0,53.48790284
Bulgaria,2010,6.049624919,18164.05463,14.27,73.51219512,7395599.0,73.16454291
Cambodia,2010,0.357906398,2706.991816,64.82,67.712,14363532.0,30.05983124
Cameroon,2010,0.352871883,3298.624579,78.74,56.582,19878036.0,31.16396337
Canada,2010,15.79453766,44858.819,21.13,81.32219512,34004889.0,75.38539269
Chile,2010,4.101883998,21225.10386,27.04,78.501,17004162.0,77.60667223
China,2010,6.335419767,8884.588031,12.26,75.599,1337705000.0,88.25519867
Colombia,2010,1.431317954,11890.20308,29.63,75.033,44816108.0,76.95310387
"Congo, Dem. Rep.",2010,0.039973637,841.8562871,96.81,56.417,66391257.0,3.078211005
"Congo, Rep.",2010,1.222057629,5050.279499,54.8,61.683,4437884.0,42.0429919
Costa Rica,2010,1.537237693,16667.01652,40.39,78.67,4622252.0,47.51590421
Cote d'Ivoire,2010,0.30069069,3737.400732,75.42,55.023,21120042.0,23.23150743
Croatia,2010,4.529770847,24643.15074,29.75,76.47560976,4295427.0,74.29497196
Cyprus,2010,6.991677333,38297.0,6.5,79.665,1129686.0,95.39065382
Czechia,2010,10.89966881,33483.13759,10.95,77.42439024,10474410.0,80.55980081
Denmark,2010,8.674756651,50825.41229,21.2,79.1,5547683.0,78.27422571
Dominican Republic,2010,2.115519466,12677.01756,16.91,72.093,9775755.0,85.40274143
Ecuador,2010,2.485325644,10355.82266,11.79,75.43,14989585.0,87.84865451
"Egypt, Arab Rep.",2010,2.295790948,10333.27557,5.37,69.664,87252413.0,97.21176113
El Salvador,2010,1.069539358,7410.216911,32.62,71.848,6114034.0,46.45622974
Estonia,2010,13.89466569,26015.74635,25.32,75.42926829,1331475.0,20.57485777
Ethiopia,2010,0.072538775,1236.479409,94.11,59.73,89237791.0,4.579117972
Finland,2010,11.65808248,45874.6613,33.43,79.87073171,5363352.0,48.80002881
France,2010,5.350407866,42145.68195,11.99,81.66341463,65030575.0,49.83637832
Gabon,2010,3.367467221,13682.84753,85.83,63.898,1711105.0,18.90264227
Georgia,2010,1.405473639,9735.157935,39.15,72.128,3786695.0,64.70334463
Germany,2010,9.453388627,46999.23997,11.61,79.98780488,81776930.0,79.56035026
Ghana,2010,0.405971225,3709.395761,51.91,61.157,25574719.0,49.67778841
Greece,2010,7.874814737,33693.21148,11.38,80.38780488,11121341.0,90.38560276
Guatemala,2010,0.804898453,7335.988974,67.08,70.878,14259687.0,32.66035575
Haiti,2010,0.249743977,2943.549503,78.99,46.019,9842880.0,17.77460884
Honduras,2010,0.937979274,4790.109573,53.63,71.088,8450933.0,51.16665966
Hungary,2010,4.788038988,24473.46262,13.46,74.20731707,10000023.0,74.2719228
Iceland,2010,6.159973085,47457.62292,75.89,81.89756098,318041.0,11.51979151
India,2010,1.338033835,4213.362991,36.16,66.909,1240613620.0,71.40469516
Indonesia,2010,1.702905979,8212.634454,35.96,68.679,244016173.0,67.15478782
"Iran, Islamic Rep.",2010,7.179825153,15099.46019,0.9,73.069,75373855.0,99.44489988
Iraq,2010,3.471956948,8178.305252,1.67,67.062,31264875.0,97.55356735
Ireland,2010,8.847879074,53436.21884,5.29,80.74390244,4560155.0,90.00309943
Israel,2010,9.250262343,34350.44898,8.55,81.60243902,7623600.0,96.35144842
Italy,2010,6.836875163,42664.35527,12.79,82.03658537,59277417.0,84.62877402
Jamaica,2010,2.73594899,9700.027418,8.99,72.622,2733896.0,82.65261778
Japan,2010,9.036009995,38069.95604,4.66,82.84268293,128070000.0,80.91095442
Jordan,2010,2.9138722,11866.88089,2.95,74.0,6931258.0,97.34740255
Kazakhstan,2010,14.07327542,20751.25724,1.38,68.45,16321872.0,98.78505276
Kenya,2010,0.323340092,3735.792926,76.11,60.649,41517895.0,19.41168608
"Korea, Rep.",2010,11.60782984,34394.49049,1.32,80.11707317,49554112.0,82.86953009
Kyrgyz Republic,2010,1.173736669,4141.077206,25.59,69.3,5447900.0,70.51697531
Latvia,2010,4.06096622,21173.4018,33.07,73.48292683,2097555.0,65.84999642
Lebanon,2010,4.176368149,19216.49054,5.7,78.156,4995800.0,94.97296041
Libya,2010,9.174323797,31394.16175,2.37,72.374,6491988.0,99.28147735
Lithuania,2010,4.06905151,23942.76036,21.46,73.26829268,3097282.0,74.29750942
Luxembourg,2010,21.75566571,114343.9881,3.68,80.63170732,506953.0,87.95743151
Malaysia,2010,6.959707228,20171.87816,1.96,74.442,28717731.0,96.89621303
Malta,2010,6.240169068,32915.72314,1.22,81.39756098,414508.0,99.67246958
Mauritius,2010,2.928502879,17311.62524,12.77,72.96731707,1250400.0,81.65630027
Mexico,2010,4.113210914,19054.35766,9.36,74.19,112532401.0,90.49508897
Moldova,2010,2.897999339,8432.709423,20.01,69.357,2862354.0,90.35400377
Mongolia,2010,5.295464973,7518.831118,4.46,67.182,2702520.0,94.84840752
Montenegro,2010,4.171913443,16764.46314,49.09,75.9902439,619428.0,62.0834407
Morocco,2010,1.594015561,6775.945801,13.91,70.829,32464865.0,87.0983164
Mozambique,2010,0.116175443,1043.567473,84.89,54.198,23073723.0,7.960892565
Myanmar,2010,0.164631248,3094.004253,84.93,63.329,49390988.0,21.22355916
Namibia,2010,1.478370349,9115.506512,31.21,56.015,2099271.0,67.1141655
Nepal,2010,0.170862749,2682.698698,87.29,66.814,27161567.0,12.59690416
Netherlands,2010,10.29831131,52032.9865,3.85,80.70243902,16615394.0,93.67450023
New Zealand,2010,7.136621693,37557.96551,29.37,80.90487805,4350700.0,61.05375011
Nicaragua,2010,0.770731731,4586.90959,54.44,72.009,5855734.0,46.90267642
Niger,2010,0.08175723,1024.699579,80.67,58.367,16647543.0,21.10587693
Nigeria,2010,0.559512915,4857.266271,86.46,50.945,160952853.0,18.08149657
North Macedonia,2010,4.053325444,13515.06375,22.3,74.99756098,2055004.0,81.11916478
Norway,2010,8.205017864,61672.96017,56.71,80.99756098,4889252.0,63.043064
Oman,2010,16.33508148,40819.93848,0.0,76.269,2881914.0,99.99999466
Pakistan,2010,0.72190976,4082.337752,47.4,64.436,194454498.0,60.27256849
Panama,2010,2.536305575,22237.10003,20.65,76.448,3623617.0,81.35094146
Paraguay,2010,0.874265616,11281.25573,63.61,71.887,5768613.0,32.58028855
Peru,2010,1.539485423,9996.937323,32.17,73.711,29229572.0,68.26017768
Philippines,2010,0.865602879,5876.478141,32.6,70.754,94636700.0,60.11116976
Poland,2010,8.247004676,23692.90923,9.49,76.24634146,38042794.0,92.45120757
Portugal,2010,4.817631537,31798.15381,27.83,79.02682927,10573100.0,75.12558465
Romania,2010,3.832784829,20415.62892,24.08,73.45853659,20246871.0,75.07095149
Russian Federation,2010,11.32540095,23961.2207,3.34,68.84121951,142849468.0,90.52974766
Saudi Arabia,2010,15.16838627,41231.56775,0.01,75.763,29411929.0,99.99677609
Senegal,2010,0.560744785,2830.153244,49.55,64.615,12530121.0,46.08066251
Serbia,2010,6.460167791,14511.06369,20.47,74.33658537,7291436.0,86.9419507
Singapore,2010,8.354508373,78191.78268,0.47,81.54146341,5076732.0,97.68803286
Slovak Republic,2010,6.571950882,25630.42511,10.28,75.11219512,5391428.0,70.23777339
Slovenia,2010,7.701518562,33350.61359,20.07,79.42195122,2048583.0,66.67921436
South Africa,2010,8.217612227,13469.36113,9.65,58.899,51784921.0,87.46124141
Spain,2010,5.885763493,37318.53317,14.39,81.62682927,46576897.0,76.00086331
Sri Lanka,2010,0.632448603,9254.851513,61.85,73.215,20668557.0,43.08771554
Sudan,2010,0.486883006,4745.297363,61.31,63.016,33739933.0,31.02909896
Suriname,2010,3.19526443,18255.40889,22.1,69.894,546080.0,79.41492194
Sweden,2010,5.116747205,47791.37152,44.7,81.45121951,9378126.0,34.4232514
Switzerland,2010,5.77742182,65262.34098,20.56,82.24634146,7824909.0,51.55355017
Tajikistan,2010,0.321040534,2359.996291,61.83,67.742,7621779.0,34.60580974
Tanzania,2010,0.153177107,1972.367432,89.74,60.105,45110527.0,10.61036898
Thailand,2010,3.526681931,14172.21806,22.83,76.131,68270489.0,79.99305669
Togo,2010,0.400206639,1637.651958,65.81,57.304,6571855.0,22.03570898
Trinidad and Tobago,2010,15.20460953,27593.79882,0.38,72.725,1410296.0,99.92966889
Tunisia,2010,2.59948015,10478.01044,12.61,75.421,10895063.0,87.68649948
Turkiye,2010,4.071715146,19804.46157,14.21,75.069,73142150.0,89.12433057
Ukraine,2010,5.862660906,12221.44043,2.88,70.26536585,45870741.0,80.45380003
United Kingdom,2010,7.689567494,42013.82376,3.13,80.40243902,62766365.0,88.16810568
United States,2010,17.43173699,54510.46562,7.44,78.54146341,309327143.0,84.15058807
Uruguay,2010,1.874277997,19542.55747,53.29,76.858,3352651.0,50.03140418
Uzbekistan,2010,4.419814161,4953.961368,1.35,69.235,28562400.0,97.81508659
Viet Nam,2010,1.732201659,6324.525936,34.58,73.513,87411012.0,70.32817751
Zambia,2010,0.19263946,3083.355321,88.59,56.799,13792086.0,7.756579135
Zimbabwe,2010,0.741290479,1799.540233,82.51,50.652,12839771.0,24.8557054
